,formula_label,symbol_set,subject
1679,Rankine vortex,"{Γ, π, θ, R, u, r}",Life sciences
1680,Rao–Blackwell theorem,"{i, n, f}",Auxiliary sciences of history
1681,Rassias conjecture,{p},
1682,Rate of return on a portfolio,"{A, r, n}",Fields of mathematics
1683,Rate-monotonic scheduling,"{i, C, U, T, n}",Applied sciences
1684,Ratio test,"{a, n, ∞}",Fields of mathematics
1685,Rational expectations,"{P, ϵ}",Applied sciences
1686,Raven paradox,"{a, E, F, n, P, λ}",Life sciences
1687,Ray transfer matrix analysis,"{A, C, B, D, θ, x}",Subfields of physics
1688,Rayl,"{a, C, b, d, G, S, c, k, m, M, l, N, P, s, R, g, y, n, K}",Life sciences
1689,Rayleigh,"{I, L, π}",
1690,Rayleigh distribution,"{e, f, σ, x}",Life sciences
1691,Rayleigh number,"{a, b, g, L, R, u, T, α, β, ν}",Physical sciences
1692,Rayleigh sky model,"{a, cos, m, x, γ, δ, sin}",Subfields of physics
1693,Rayleigh–Bénard convection,"{ρ, g, χ, ∂, ∇, t, p, ν, v, div, Δ, β, T}",Physical sciences
1694,Reactions on surfaces,"{A, C, d, k, θ, S, r, t}",Subfields of physics
1695,Reaction–diffusion system,"{D, ∂, ∇, q, R, t}",Fields of mathematics
1696,Real analytic Eisenstein series,"{E, m, n, s, y, z}",Fields of mathematics
1697,Real gas,"{a, b, P, R, T, V}",Environmental studies
1698,Real point,"{u, n}",Fields of mathematics
1699,Real projective plane,"{X, cos, r, u, v}",Fields of mathematics
1700,Reality structure,"{i, R, V}",Fields of mathematics
1701,Recessional velocity,"{H, D, v}",Branches of philosophy
1702,Reciprocal Fibonacci constant,"{∞, k, ψ, F}",Fields of mathematics
1703,Reciprocal Gamma function,"{Γ, z, f}",
1704,Reciprocal distribution,"{a, b, e, log, f, x}",Life sciences
1705,Reciprocal rule,"{x, d, g}",Fields of mathematics
1706,Recrystallization,"{b, E, d, G, ρ, s, r, o, γ, Δ}",
1707,Recurrence period density entropy,"{x, τ, M, X, n}",Fields of mathematics
1708,Recursive tree,"{T, n}",Fields of mathematics
1709,Recursively enumerable set,"{p, K, t, x}",Fields of mathematics
1710,Reduced form,"{Q, Z, e, π}",Auxiliary sciences of history
1711,Reduced homology,"{x, f}",Fields of mathematics
1712,Reduced product,"{I, i, S}",Fields of mathematics
1713,Reductions with hydrosilanes,"{r, B, n}",Life sciences
1714,Reference dose,"{a, o, E, D, g, f, i, h, k, m, L, O, N, r, U, t, y, e, R, n, d}",Branches of biology
1715,Reference range,"{e, d, i, m, L, o, l, s, r, t, w, n}",Wikipedia articles with sections published in WikiJournal of Medicine
1716,Reflectance difference spectroscopy,"{C, D, S, R, α, β, r}",Life sciences
1717,Regularity theorem for Lebesgue measure,"{A, △, B, N}",Fields of mathematics
1718,Regulated function,"{f, φ, t, ∞, X, δ, T}",Fields of mathematics
1719,Reid index,"{a, d, g, I, l, n, R, w}",Life sciences
1720,Reinforced solid,"{A, x, r, ρ}",Professional studies
1721,Relational quantum mechanics,"{a, x, f, t, y}",Society
1722,Relative biological effectiveness,"{X, R, B, E, D}",Subfields of physics
1723,Relative viscosity,"{s, r, η}",Environmental studies
1724,Relativistic Doppler effect,"{c, f, s, λ, t, v, β}",Subfields of physics
1725,Relativistic Euler equations,"{μ, ν, ∇, T}",Life sciences
1726,Remez algorithm,"{b, e, f, i, h, n, r, w, x, E}",Fields of mathematics
1727,Removal of Hell Gate rocks,"{C, L}",Categories by parameter
1728,Representation of a Lie group,"{G, g, F, J, L, n, q, p, S, t}",Fields of mathematics
1729,Representativeness heuristic,"{P, D, H}",Life sciences
1730,Reproducing kernel Hilbert space,"{x, ∀, L, H, f}",Fields of mathematics
1731,Reptation,"{A, e, n}",Subfields of physics
1732,Residual (numerical analysis),"{x, r, n, g, F}",Applied sciences
1733,Residual-resistance ratio,"{K, R, ρ}",Subfields of physics
1734,Resolution proof compression by splitting,"{p, add, r, n}",Auxiliary sciences of history
1735,Resolvent formalism,"{I, A, R, z}",Life sciences
1736,Respiratory minute volume,"{V, T, f}",Branches of biology
1737,Restricted representation,"{f, N}",Fields of mathematics
1738,Resultant force,"{i, n, F}",Physical sciences
1739,Retina Display,"{tan, r, d}",Applied sciences
1740,Retkes convergence criterion,"{Π, k, n, s, ∞, z}",Fields of mathematics
1741,Returns-based style analysis,"{i, m, I, R, t, α, β, ϵ}",Fields of mathematics
1742,Reverberation,"{a, c, ln, m, s, S, R, T, V}",Society
1743,Reynolds number,"{R, e, ν, L, V}",Physical sciences
1744,Rhind Mathematical Papyrus,"{h, d, V}",Political science theories
1745,Ribaucour curve,"{y, x, c, d, n}",
1746,Ribbon Hopf algebra,"{S, u, ε, ν}",Fields of mathematics
1747,Riccati equation,"{y, x, q}",Fields of mathematics
1748,Ricci scalars,"{a, m, l, n}",
1749,Ricco's law,"{a, A, C, e, K, o, n, s, r, t}",Applied sciences
1750,Rice distribution,"{f, I, σ, ν, exp, x}",Life sciences
1751,Richards equation,"{h, K, ∂, θ, t, z}",Subfields of physics
1752,Ricker model,"{k, r, e, t, N}",Fields of mathematics
1753,Riemann curvature tensor,"{R, u, ∇, w, v}",Fields of mathematics
1754,Riemann zeta function,"{s, n, ζ, ∞}",Fields of mathematics
1755,Riemann–Hurwitz formula,"{P, S, e, g, N}",Fields of mathematics
1756,Riemann–Siegel theta function,"{log, i, π, θ, t, arg, Γ}",Categories by parameter
1757,Riemann–von Mangoldt formula,"{log, N, T, O, π}",Categories by parameter
1758,Riesz mean,"{λ, k, n, s, R, δ}",Fields of mathematics
1759,Riesz rearrangement inequality,"{d, g, f, I, h, n, R, y, x}",Fields of mathematics
1760,Riesz's lemma,"{Y, y, d, x}",Fields of mathematics
1761,Right quotient,"{x, ∃, L, w}",Fields of mathematics
1762,Rijndael key schedule,"{i, b}",Applied sciences
1763,Ring Learning with Errors,"{a, x, n}",Life sciences
1764,Risk management in Indian banks,"{p, R}",Political science theories
1765,Risk-neutral measure,"{Q, P, E, T, H}",Fields of mathematics
1766,Robbins constant,"{a, c, σ, l, T, α}",Fields of mathematics
1767,Robin boundary condition,"{a, Ω, b, g, ∂, n, u}",Fields of mathematics
1768,Robust regression,"{c, e, i, σ, N, ε}",Applied sciences
1769,Roche limit,"{M, R, m, d, ρ}",Fields of mathematics
1770,Rogers–Szegő polynomials,"{q, h, k, x, n}",Fields of mathematics
1771,Rokhlin's theorem,"{Q, H, Z, M}",Fields of mathematics
1772,Root-mean-square speed,"{M, m, s, r, T, v, R}",Environmental studies
1773,Rose–Vinet equation of state,"{V, η}",Physical sciences
1774,Roshko number,"{o, R, L, ν, f}",Life sciences
1775,Rossby parameter,"{a, c, d, ω, f, i, ∂, o, n, s, y, β, ϕ}",Political science theories
1776,Rotating unbalance,"{U, ω, F}",Physical sciences
1777,Rotation operator,{e},
1778,Rotational spectroscopy,"{α, B, v}",Physical sciences
1779,Rota–Baxter algebra,"{y, θ, R, x}",Fields of mathematics
1780,Rothe–Hagen identity,"{y, x, k, z, n}",Fields of mathematics
1781,Round-trip gain,"{a, d, g, G, y, x, z}",Applied sciences
1782,Routhian,"{i, q, t, d, L}",
1783,Row and column spaces,"{Ω, e, d, I, O, N, i, R, U, o, T}",Fields of mathematics
1784,Roy's safety-first criterion,"{i, R}",Portfolio theories
1785,Rubber elasticity,"{b, d, n, P, r, exp, π}",Subfields of physics
1786,Rubin causal model,"{Y, c, u, t, T}",Branches of philosophy
1787,Ruelle zeta function,"{θ, x, cos, r}",Fields of mathematics
1788,Rugosity,"{A, f}",Professional studies
1789,Runge–Kutta method,"{a, b, d, t, W, X}",
1790,Rutherford backscattering spectrometry,"{k, E}",Ernest Rutherford
1791,Rössler attractor,"{a, c, b}",Life sciences
1792,S-plane,"{C, e, d, f, s, t, ∞}",Fields of mathematics
1793,SL2(R),"{a, R, c, b, d}",Fields of mathematics
1794,STO-nG basis sets,"{c, G, ψ, S, O, s, T, ϕ}",Subfields of physics
1795,Saha ionization equation,"{B, e, g, i, k, n, Λ, T, exp, ϵ}",Subfields of physics
1796,Sammon projection,"{i, j, E, d}",
1797,Sample complexity,"{E, d, h, L, o, y, s, ρ, X, Y, x}",Applied sciences
1798,Samuelson's inequality,"{x, n}",Auxiliary sciences of history
1799,Sangaku,{r},Fields of history
1800,Sard's theorem,"{n, R, m, f}",Fields of mathematics
1801,Sauerbrey equation,"{A, f, m, ρ, q, μ, Δ}",Subfields of physics
1802,Scalar curvature,"{S, Ric, g}",Fields of mathematics
1803,Scalar-tensor theory,"{Ψ, c, g, ω, m, ∂, σ, L, Φ, S, R, μ, ν, V, x, d}",
1804,Scale factor,"{a, d, t}",Fields of mathematics
1805,Scale space,"{e, g, π, t, y, x}",Applied sciences
1806,Scale-invariant feature transform,"{A, d, φ, ℏ, q, P, x}",Applied sciences
1807,Scale-space axioms,"{a, b, f, h, t, T}",Applied sciences
1808,Scatchard equation,"{a, K, r, L, n}",Branches of biology
1809,Scatter matrix,"{x, j, n}",Fields of mathematics
1810,Schatten norm,"{p, s, T, n}",Fields of mathematics
1811,Schauder basis,"{n, v, b, α, ∞}",Fields of mathematics
1812,Scherk surface,"{n, R, u, π}",Fields of mathematics
1813,Schmidt number,"{S, c, D, ν}",Life sciences
1814,Schnirelmann density,"{A, n, Z, d, π}",Fields of mathematics
1815,Schoen–Yau conjecture,"{y, x, R, H}",Fields of mathematics
1816,Schottky effect,"{A, e, G, F, k, J, T, W, Δ}",Subfields of physics
1817,Schottky's theorem,"{z, log, f}",Fields of mathematics
1818,Schreier refinement theorem,"{S, Z, id}",Fields of mathematics
1819,Schreier's lemma,"{H, g}",Fields of mathematics
1820,Schrödinger equation,"{Ψ, i, H, ℏ, ∂, r, t}",Fields of mathematics
1821,Schrödinger group,"{i, ϵ, J, k, j}",Fields of mathematics
1822,Schur complement,"{A, C, S, B, D}",Fields of mathematics
1823,Schur orthogonality relations,"{α, β, g, G}",Fields of mathematics
1824,Schur–Horn theorem,"{i, N, λ, d, n}",Fields of mathematics
1825,Schwarzschild radius,"{s, r, M, c, G}",Political science theories
1826,Schwarz–Christoffel mapping,"{C, Im, ζ}",Fields of mathematics
1827,Secchi disk,"{I, k, z, e}",Life sciences
1828,Second-order arithmetic,"{∀, m, n, S, φ, X}",Formal theories of arithmetic
1829,Secondary plot,"{λ, j, L, π}",
1830,Secondary polynomials,"{d, ρ, n, q, p, R, t, x}",Fields of mathematics
1831,Secondary vector bundle structure,"{λ, E, T}",Fields of mathematics
1832,Segre class,"{A, P, R, t}",Fields of mathematics
1833,Seiberg–Witten invariant,"{A, ϕ, D}",Fields of mathematics
1834,Seiche,"{h, L, g, T}",Applied sciences
1835,Self-concordant function,"{x, f}",Life sciences
1836,Self-consistent mean field,"{k, u}",
1837,Self-energy,"{Σ, G}",Fields of mathematics
1838,Self-focusing,"{c, λ, n, P, r, α, π}",Applied sciences
1839,Self-ionization of water,"{a, e, H, K, O, q}",Physical sciences
1840,Self-phase modulation,"{A, γ, d, z, j}",Subfields of physics
1841,Semi-differentiability,"{I, x, ∂, a, f}",Life sciences
1842,Semi-implicit Euler method,"{d, x, v, t, f}",Fields of mathematics
1843,Semi-orthogonal matrix,"{I, A, T}",Fields of mathematics
1844,Semimartingale,"{A, X, M, t}",Applied sciences
1845,Semiparametric model,"{A, α, S, U, V}",Fields of mathematics
1846,Sensitivity analysis,"{C, π, L, f}",Professional studies
1847,Separation logic,"{Q, h, s, P}",Life sciences
1848,Separation principle,"{a, e, g, i, h, l, n, p, s, r, u, t}",Applied sciences
1849,Separative Work Unit,"{F, f, p, P, S, U, t, W, V, x, T}",
1850,Sequence logo,"{a, H, i, log, f}",Fields of mathematics
1851,Sequent,"{A, B, m, n}",Society
1852,Sequential quadratic programming,"{i, C, f, N}",Applied sciences
1853,Sequential space,"{A, a, ∃, n, X, x}",Fields of mathematics
1854,Serpentine curve,"{a, x, b, y}",Life sciences
1855,Serre's modularity conjecture,"{Q, ρ, L, G, F}",Fields of mathematics
1856,Set theory of the real line,"{a, d}",Fields of mathematics
1857,Set-theoretic limit,"{A, j, n}",Fields of mathematics
1858,Shannon–Hartley theorem,"{C, S, B, log, N}",Applied sciences
1859,Shape context,"{#, i, h, k, q, p}",Applied sciences
1860,Shapiro delay,"{c, log, G, M, R, t, x, Δ}",Applied sciences
1861,Shapiro–Wilk test,"{i, a, x, W, n}",Fields of mathematics
1862,Shapley value,"{a, i, j, l, p, S, v, x, ϕ}",Cross-cultural studies
1863,Sharpe ratio,"{a, b, E, σ, S, r, v, R}",Auxiliary sciences of history
1864,Shell theorem,"{d, G, F, m, M, s}",Subfields of physics
1865,Shifted Gompertz distribution,"{x, b, e, f, η}",Life sciences
1866,Shifted log-logistic distribution,"{σ, x, μ, ξ, F}",Life sciences
1867,Shockley Ramo theorem,"{i, q, E, v}",
1868,Short circuit test,"{a, c, e, d, f, i, h, l, o, p, s, r, u, t, W}",
1869,Shorted monopole antenna,"{c, b, f, r, w, ε}",
1870,Sierpiński's constant,"{ln, k, n, r, ∞, π, K}",Fields of mathematics
1871,Sigma Andromedae,{X},Political science theories
1872,Signal reconstruction,"{i, k, e, t, π}",Applied sciences
1873,Signal velocity,"{c, s, r, ε, v}",Fields of mathematics
1874,Signature operator,"{Ω, M, d, p}",Fields of mathematics
1875,Signorini problem,"{a, i, h, k, j, W, x, ε}",Fields of mathematics
1876,Silicon bandgap temperature sensor,"{i, x, U, n}",Applied sciences
1877,Simpson's rule,"{a, x, b, d, f}",Articles with example code
1878,Simultaneous localization and mapping,"{x, m, t, o, P}",Applied sciences
1879,Singleton bound,"{y, x, C, d}",Fields of mathematics
1880,Singly and doubly even,"{q, a, b, ν}",Fields of mathematics
1881,Singular measure,"{x, e, d, H, f}",Physical sciences
1882,Singular perturbation,"{ψ, φ, N, x, n, δ, ε}",Fields of mathematics
1883,Singular solution,"{y, x}",Fields of mathematics
1884,Singularity function,"{x, m, w, N}",Fields of mathematics
1885,Sinhc function,"{Sinhc, z, sinh}",Fields of mathematics
1886,Situation calculus,"{c, e, d, ¬, k, l, o, n, p, s, r, u, t}",
1887,Six exponentials theorem,"{d, i, j, l, exp, y, x}",Branches of philosophy
1888,Sliced inverse regression,"{a, b, U}",Applied sciences
1889,Sliding mode control,"{i, ϕ, R, U, n}",Applied sciences
1890,Sliding window based part-of-speech tagging,"{γ, Γ}",Applied sciences
1891,Sloped armour,"{c, L, o, N, θ, s, T}",Applied sciences
1892,Slowly varying function,"{a, x, L, ∞}",Fields of mathematics
1893,Small-angle approximation,"{θ, sin}",Fields of mathematics
1894,Small-bias sample space,"{λ, c, n, P, r, α, π}",Branches of philosophy
1895,Smith–Minkowski–Siegel mass formula,"{Λ, m, Aut, f}",Hermann Minkowski
1896,Smooth number,"{Ψ, B, log, π, p, x}",Fields of mathematics
1897,Snell envelope,"{X, U, N}",Fields of mathematics
1898,Snell's law,"{θ, λ, v, sin, n}",Subfields of physics
1899,Snellius–Pothenot problem,"{C, π, α, y, x, β}",Society
1900,Sobolev inequality,"{q, p, k, ℓ, n}",Fields of mathematics
1901,Sodium adsorption ratio,"{a, C, M, g, N}",Environmental studies
1902,Sol-air temperature,"{a, I, h, l, o, Q, i, s, r, T, Δ}",Applied sciences
1903,Solar balloon,"{S, N, F, π}",Applied sciences
1904,Solenoid,"{I, B, μ, l, N}",Professional studies
1905,Solid-state nuclear magnetic resonance,"{d, ℏ, π, r, μ, γ}",Branches of biology
1906,Soliton distribution,"{X, k, Ad, v}",Fields of mathematics
1907,Solvency ratio,"{a, e, i, m, n, p, s, r, u, t, w}",Fields of mathematics
1908,Solving the geodesic equations,"{a, c, b, d, s, x, Γ}",Fields of mathematics
1909,Sommerfeld identity,"{v, z, u, f}",Fields of mathematics
1910,Sound energy density,"{V, w, W, d}",Applied sciences
1911,Souček space,"{Ω, k, m, L, R, u, ∞}",Fields of mathematics
1912,Space cardioid,"{cos, k, j, t, X, sin}",Life sciences
1913,Spatial multiplexing,"{s, r, t, N}",
1914,Spearman's rank correlation coefficient,"{cov, σ, ρ, s, r, rg, Y, X}",Fields of mathematics
1915,Specific fan power,"{q, P, S, v, F}",Subfields of physics
1916,Specific force,"{a, c, e, g, F, i, M, l, o, n, s, r, t, v}",Physical sciences
1917,Specific relative angular momentum,"{h, m, L}",Professional studies
1918,Specker sequence,"{i, a, q, n}",Fields of mathematics
1919,Spectral abscissa,"{A, λ, e, i, R, η}",Fields of mathematics
1920,Spectral asymmetry,"{B, ω, n, t, exp, sgn}",Fields of mathematics
1921,Spectral invariants,"{a, H, x, α}",Fields of mathematics
1922,Spectral risk measure,"{d, F, M, p, X, ϕ}",Fields of mathematics
1923,Spectral theory of compact operators,"{Y, i, k, C, n}",Fields of mathematics
1924,Spectrum of a matrix,"{A, λ, n}",Fields of mathematics
1925,SpeedStep,"{P, C, V, f}",Professional studies
1926,Sphere of influence,"{a, I, m, M, O, S, r}",Political science theories
1927,Sphere–cylinder intersection,"{y, x, r}",Fields of mathematics
1928,Spherical pendulum,"{A, cos, ω, ψ, φ, k, t, x}",People
1929,Spherical sector,"{h, r, π, V}",Applied sciences
1930,Spieker center,"{a, c, b}",Fields of mathematics
1931,Spike-triggered covariance,"{A, C, i, S, n, s, T, y, x}",Life sciences
1932,Spin glass,"{χ, V, E, F}",Subfields of physics
1933,Spin network,"{A, G, M, π, r, U, y}",Subfields of physics
1934,Spin-exchange interaction,"{A, B}",Subfields of physics
1935,Spinning drop method,"{s, γ, E, k}",Environmental studies
1936,Spinodal decomposition,"{y, x, ∂, z, ∇}",Subfields of physics
1937,Spitzer's formula,"{v, n, u, t, exp, ∞, α, β, ϕ}",Fields of mathematics
1938,Spring (mathematics),"{cos, r, u, v, x, R}",Life sciences
1939,Squeeze mapping,"{a, y, x}",Fields of mathematics
1940,Squeeze operator,"{a, e, i, θ, S, r, exp, z}",Subfields of physics
1941,Stabilizer code,"{c, E, F, ln, K, n, R, T}",Fields of mathematics
1942,Stagnation point,"{q, p, C, ∞}",Physical sciences
1943,Stagnation pressure,"{P, ρ, v}",Physical sciences
1944,Stagnation temperature,"{h, V}",Physical sciences
1945,Standard Reference Method,"{A, S, R, M, D}",Health
1946,Standard Weight in Fish,"{a, b, L, W}",
1947,Standard asteroid physical characteristics,"{a, μ, ν, d}",Political science theories
1948,Standard linear solid model,"{E, s, σ, ε}",Environmental studies
1949,Standard normal table,"{μ, Z, σ, X}",Fields of history
1950,Standard probability space,"{A, B, m, p, mes, Z}",Fields of mathematics
1951,Standard translation,"{∀, ◻, p, S, R, T, y, x}",Branches of philosophy
1952,Standardized moment,"{x, ∞, E, t, d}",Auxiliary sciences of history
1953,Static forces and virtual-particle exchange,"{A, t, T, V}",Subfields of physics
1954,Stationary phase approximation,"{e, d, g, f, I, k, i, x}",Fields of mathematics
1955,Stefan–Boltzmann law,"{h, k, σ, c, π}",Life sciences
1956,Stein factorization,"{g, f}",Fields of mathematics
1957,Stein's example,"{θ, X, N}",Applied sciences
1958,Stein's method,"{y, x, e, L}",Auxiliary sciences of history
1959,Steinhart–Hart equation,"{A, C, B, ln, R, T}",Subfields of physics
1960,Steinhaus theorem,"{A, a, b}",Fields of mathematics
1961,Sterling ratio,"{a, A, C, B, %, d, g, m, l, o, n, p, S, R, u, O, v, D}",Professional studies
1962,Stewart–Walker lemma,"{h, L, O, T, X, ϵ}",Life sciences
1963,Sticking coefficient,"{a, P, m, d}",Subfields of physics
1964,Stieltjes constants,"{∞, s, γ, ζ, n}",Fields of mathematics
1965,Stirling numbers of the second kind,"{k, j, n}",Fields of mathematics
1966,Stirling's approximation,"{ln, O, n}",Fields of mathematics
1967,Stochastic Eulerian Lagrangian method,"{a, A, c, B, f, F, M, o, r, T, V, t}",Fields of mathematics
1968,Stochastic chains with memory of variable length,"{P, ε, ξ, n}",Fields of mathematics
1969,Stochastic control,"{Q, S, R, u, t, y, T}",Applied sciences
1970,Stochastic processes and boundary value problems,"{D, g, ∂, u, y, x, Δ}",Fields of mathematics
1971,Stock and flow,"{D, g, I, K, n, t, d}",Professional studies
1972,Stokes flow,"{P, ∇, f}",Life sciences
1973,Stokes number,"{S, k, u, t, l}",Physical sciences
1974,Stokes wave,"{A, E, t, ρ, v}",Physical sciences
1975,Stokes' law,"{d, F, π, R, μ, V}",Physical sciences
1976,Stokes' paradox,"{a, z, f, n}",Life sciences
1977,Stolz–Cesàro theorem,"{a, ∞, b, n}",Fields of mathematics
1978,Stone's theorem on one-parameter unitary groups,"{R, U, t}",Fields of mathematics
1979,Strain rate,"{ϵ, L, t}",Physical sciences
1980,Strategic complements,"{y, p, U, x, F}",Fields of mathematics
1981,Stream power law,"{A, E, K, m, n, S}",Earth sciences
1982,Streaming algorithm,"{h, m, L}",Applied sciences
1983,Stretched exponential function,"{β, e, t, f}",Fields of mathematics
1984,Strictly positive measure,"{∀, μ, U, ∅, T}",Fields of mathematics
1985,String operations,"{s, Alph}",Fields of mathematics
1986,Strong topology,"{Y, X, σ}",Fields of mathematics
1987,Strophoid,"{a, cos, ρ, y, x, ϕ}",Life sciences
1988,Sturmian word,"{θ, x, w, n}",Fields of mathematics
1989,Sub-Gaussian random variable,"{e, d, n, s, ∞, x, Γ}",Life sciences
1990,Subnormal operator,"{A, C, B, N}",Fields of mathematics
1991,Subnormal subgroup,"{H, k, G}",Fields of mathematics
1992,Subobject classifier,"{x, c, g, f}",Fields of mathematics
1993,Subquotient,"{ϕ, J, G, g, ψ}",Fields of mathematics
1994,Subsequence,"{a, A, C, B, E, D, G, n, X, d}",Fields of mathematics
1995,Subspace topology,"{S, τ, U}",Fields of mathematics
1996,Substructural logic,"{Σ, Γ}",Life sciences
1997,Subtractor,"{i, Y, B, D, X}",Fields of mathematics
1998,Sudan function,"{y, x, F}",Fields of mathematics
1999,Sulston score,"{C, E, G, j, m, P, t}",Fields of mathematics
2000,Summation equation,"{f, i, k, m, n, s, t, x}",Life sciences
2001,Super-resolution optical fluctuation imaging,"{C, log, f, L, N, ∞}",Fields of mathematics
2002,Supercommutative algebra,"{y, x}",Fields of mathematics
2003,Superdense coding,"{A, B}",Subfields of physics
2004,Superellipse,"{y, x, b, a, n}",Life sciences
2005,Superellipsoid,"{y, x, r, t, z}",Political science theories
2006,Supermembranes,"{k, σ, O, θ, μ, X, x}",Fields of mathematics
2007,Supermodule,{E},Fields of mathematics
2008,Superpartient number,"{a, n}",
2009,Superperfect number,"{σ, n}",Fields of mathematics
2010,Supersingular elliptic curve,"{p, r, Z, E, K}",Fields of mathematics
2011,Supersolvable group,"{H, s, G}",Fields of mathematics
2012,Surface photovoltage,"{b, e, d, f, k, τ, l, s, u}",Life sciences
2013,Suspension polymerization,"{C, d, k, m, l, N, s, R, ν, v, ϵ, D}",Physical sciences
2014,Swap regret,"{a, i, j, L, s, w}",Fields of mathematics
2015,Sylow theorems,"{p, mod}",Life sciences
2016,Symbolic Cholesky decomposition,"{y, x, z}",Articles with example code
2017,Symmetric closure,"{y, x, S, R}",Applied sciences
2018,Symmetric decreasing rearrangement,"{A, x, R, ω, n}",Fields of mathematics
2019,Symmetric spectrum,"{p, S, n, X}",Fields of mathematics
2020,Symmetrically continuous function,"{x, h, f}",Fields of mathematics
2021,Symmetry in quantum mechanics,"{Ω, r, t, ψ}",Fields of mathematics
2022,Symplectic integrator,"{q, H, ∂, p}",Fields of mathematics
2023,Symplectic manifold,"{d, H, L, ω, V}",Fields of mathematics
2024,Symplectic representation,"{F, ω, V}",Fields of mathematics
2025,Synchronization of chaos,"{y, α, ′, x, F}",Life sciences
2026,Synchrotron function,"{d, F, K, t, ∞, x}",Fields of mathematics
2027,Synthetic Aperture Ultrasound,"{m, ′, M, g}",Subfields of physics
2028,Szegő kernel,"{P, z, f}",Fields of mathematics
2029,T pad,"{a, c, e, d, g, f, i, h, m, o, n, p, r, t, Z}",Subfields of physics
2030,T-J model,"{θ, a, r, sec}",Subfields of physics
2031,T-aerial,"{h, λ, R, π}",
2032,T-duality,"{c, e, i, φ, m, n, θ, R, x}",Subfields of physics
2033,TITAN2D,"{a, k, s, n}",Earth sciences
2034,TRevPAR,"{A, a, b, e, i, m, l, o, n, P, s, R, u, T, v, t}",Professional studies
2035,Tangent half-angle formula,"{α, tan, sin}",Fields of mathematics
2036,Tangential and normal components,{v},Fields of mathematics
2037,Tanh-sinh quadrature,"{x, π, t, sinh, tanh}",Physical sciences
2038,Tanner graph,"{R, r, m}",Fields of mathematics
2039,Target Motion Analysis,"{A, B, O, S, R, r}",Applied sciences
2040,Tautological one-form,"{θ, p, q, i, d}",Physical sciences
2041,Taylor circle,"{cos, R, T, α, β, γ, sin}",
2042,Taylor series,"{a, x, f}",Fields of mathematics
2043,Technological theory of social production,"{k, E, O, n}",
2044,Teichmüller character,"{x, ∞, ω, p, n}",Fields of mathematics
2045,Teichmüller space,"{C, z, Im}",Fields of mathematics
2046,Telescoping Markov chain,"{θ, k, S, N}",Applied sciences
2047,Tellegen's theorem,"{k, b, W, F}",Subfields of physics
2048,Temperature dependence of liquid viscosity,"{b, μ, T, exp}",Environmental studies
2049,Temperature jump,"{d, ln, H, K, o, R, T, Δ}",Physical sciences
2050,Tensor density,"{∇, f}",Fields of mathematics
2051,Tensor-hom adjunction,"{Y, X, Z, Hom}",Fields of mathematics
2052,Tent map,"{x, μ, f}",Life sciences
2053,Term symbol,"{i, P, l}",Subfields of physics
2054,Texture,"{d, g, F, O, V, D}",
2055,The Complexity of Songs,"{S, ϵ, k, V}",Society
2056,The Magnificent Seven,"{R, σ, D, T, F}",
2057,The Product Space,"{i, x, ϕ, j}",Humanities
2058,Theorem on friends and strangers,{R},Fields of mathematics
2059,Theory of reasoned action,"{A, B, I, N, S, W}",Political science theories
2060,Thermal de Broglie wavelength,"{A, E, d, τ, t, ∞}",Auxiliary sciences of history
2061,Thermal history modelling,"{Q, k, z, d, T}",Subfields of geology
2062,Thermal mass,"{C, h, Q, t, Δ, T}",Subfields of physics
2063,Thermal shock,"{E, k, σ, R, T, α, ν}",Applied sciences
2064,Thermodynamic integration,"{A, B, λ, U}",Applied sciences
2065,Thermodynamic limit,"{V, ∞, N}",Physical sciences
2066,Thin set,"{H, N, log, O, n}",
2067,Thom conjecture,"{d, g}",Life sciences
2068,Thompson groups,"{i, A, B, d}",Fields of mathematics
2069,Thomson problem,"{e, i, k, j, N, r, U}",Subfields of physics
2070,Thomson scattering,"{i, K, N, p, T, v}",Subfields of physics
2071,Thue–Siegel–Roth theorem,"{q, α, ε, p}",
2072,Time of flight detector,"{c, m, L, p, t, v, δ}",Humanities
2073,Time value of money,"{P, r, F, V}",Fields of mathematics
2074,Time–frequency analysis,"{σ, ψ, e, t, π}",Applied sciences
2075,Tisserand's criterion,"{i, a, cos, e}",
2076,Titration curve,"{a, H, K, log, p}",Life sciences
2077,Toda bracket,"{g, f, h, W, Y, X, Z}",Fields of mathematics
2078,Toda–Smith complex,{S},Fields of mathematics
2079,Tonelli's theorem,"{Ω, d, F, f, u, x}",
2080,Topological conjugacy,"{h, g, f}",Fields of mathematics
2081,Topological indistinguishability,"{y, x, X}",Fields of mathematics
2082,Topology optimization,"{Ω, ϕ, d, ρ}",Professional studies
2083,Torricelli's equation,"{a, d, f, i, v, Δ}",Physical sciences
2084,Torsion of a curve,"{κ, b, t, n}",Life sciences
2085,Total curvature,"{a, s, k, b, d}",Life sciences
2086,Total maximum daily load,"{A, D, M, L, O, S, T, W}",Environmental studies
2087,Touschek effect,"{A, a, C, b, tan}",Subfields of physics
2088,TraPPE force field,"{log, d, i, W, t, ξ, X, γ, ν}",Subfields of physics
2089,Trace distance,"{r, σ, T, ρ}",Subfields of physics
2090,Tractive effort,"{c, d, P, s, t, D}",Professional studies
2091,Transconductance,"{I, m, Δ, g, V}",Cultural studies
