,formula_label,symbol_set,subject
1473,Orthogonality,"{g, f, ), (, ,, ρ, →, y, x}",Life sciences
1474,Orthonormal basis,"{⟨, ∈, B, ⟩, ∥, ,, b, ∑, x, =}",Life sciences
1475,Oscillator linewidth,"{A, c, f, ), (, +, ,, π, S, v, −, =}",Physical sciences
1476,Oscillator representation,"{), α, β, ¯, (}",Life sciences
1477,Oscillatory integral,"{a, ∫, e, d, f, i, (, ,, ), ξ, x, ϕ, =}",Life sciences
1478,Oseen equations,"{G, K, ⋯, m, n, →, +}",Life sciences
1479,Ostrowski's theorem,"{∈, c, K, x, =, |, ∗}",Life sciences
1480,Ostrowski–Hadamard gap theorem,"{p, λ, j, +, >}",Life sciences
1481,Oudin coil,"{C, f, L, /, π, =}",Professional studies
1482,Outer measure,"{A, ⋃, i, φ, ), (, ∞, ∑, =}",Life sciences
1483,Output power of an analog TV transmitter,"{⋅, ∫, ), e, d, i, (, P, t, =, T}",Applied sciences
1485,Overlap–save method,"{E, f, i, (, +, =, m, ), R, β, −, ], [}",Life sciences
1486,Overspill,"{∈, f, +, ∀, ∃, ,, ≤, |, ), R, (, h, x, ϵ, −, δ, ε, ⟹}",Life sciences
1488,P-adic L-function,"{), ∏, χ, (, L, n, p, s, ∑, −, =, ,}",Life sciences
1489,P-adically closed field,"{γ, ), (, z, π, q, −, =}",Life sciences
1490,PCP theorem,"{C, log, ), (, ], ,, O, N, P, ⁡, [, n, =}",Life sciences
1491,PDF417,"{b, ), (, K, −, =, +, mod}",Society
1492,PH,"{∈, ⋃, H, k, =, N, P, Δ}",Physical sciences
1493,PI curve,"{e, P, I, (, /, ), max, α, β, −, =}",Physical sciences
1494,Padovan sequence,"{f, ), (, +, ,, n, P, x, −, =}",Life sciences
1495,Paillier cryptosystem,"{⋅, c, ), (, +, m, N, :=, r, [, ], mod}",Applied sciences
1497,Palladium-hydrogen electrode,"{a, b, d, H, s, =}",Professional studies
1498,Panjer recursion,"{f, i, h, k, ], P, X, [, =}",Life sciences
1499,Paper bag problem,"{), h, /, π, (, w, V, −, =}",Life sciences
1501,Paradox of enrichment,"{d, f, ), (, K, ,, t, y, x, −, =, +}",Life sciences
1502,Paradox of the pesticides,"{K, m, s, λ, μ, ∑, =}",Life sciences
1504,Paris–Harrington theorem,"{⏟, ), (, k, ≥, m, ,, n, P, S, R, …, N, =, |}",Life sciences
1506,Parshall flume,"{a, C, H, n, Q, =}",Applied sciences
1507,Partial residual plot,"{∩, X}",Society
1508,Particle in a ring,"{E, ψ, ℏ, m, ∇, −, =}",Physical sciences
1509,Particle shower,"{c, E, ln, (, /, ), ⁡, X, =}",Physical sciences
1510,Particular point topology,"{c, ), (, +, N, P, r, −, =}",Life sciences
1512,Pascal matrix,"{!, i, (, +, j, ,, n, ), S, r, −, =}",Life sciences
1514,Pauli equation,"{A, ⟩, ⋅, ), ψ, i, m, ℏ, ∂, σ, +, |, q, p, t, ], (, ϕ, −, =, [}",Physical sciences
1515,Pauli group,"{c, ′, E, F, ln, (, K, n, ), R, T, ⁡, =, +}",Life sciences
1516,Peak signal-to-noise ratio,"{), E, ], I, M, K, j, m, ,, n, i, S, (, ∑, [, −, =}",Life sciences
1517,Pearson product-moment correlation coefficient,"{cov, ), (, σ, ,, ρ, ⁡, Y, X, =}",Auxiliary sciences of history
1518,Peek's law,"{e, g, ln, (, ⁡, m, ), S, r, v, =}",Physical sciences
1519,Peierls transition,"{e, i, m, M, T, =}",Physical sciences
1520,Pell's equation,"{y, x, −, =, n}",Life sciences
1521,Penning ionization,"{I, =, +, E}",Applied sciences
1522,Peregrine soliton,"{∂, ψ, i, +, τ, ξ, =, |}",Life sciences
1523,Perlin noise,"{a, ⋅, f, ), (, +, smoothstep, ⁡, x, −, =, ≤}",Life sciences
1524,Permutation polynomial,"{D, ), (, ⌊, ,, /, n, p, ⌋, α, ∑, x, −, =}",Life sciences
1525,Perovskite solar cell,"{e, ), (, +, J, p, t, V, −, =}",Life sciences
1526,Perplexity,"{log, ), (, ⁡, p, H, ∑, x, −, =}",Life sciences
1527,Perron–Frobenius theorem,"{a, min, i, max, ≤, j, r, ∑}",Applied sciences
1528,Persymmetric matrix,"{a, i, ∀, +, j, ,, n, …, −, =}",Life sciences
1529,Pest insect population dynamics,"{x, +, =, l, L}",Life sciences
1530,Phase correlation,"{a, b, g, G, F, }, ,, {, =}",Applied sciences
1531,Phase retrieval,"{x, ∫, e, d, f, i, (, k, F, π, ), ⋅, ∞, ψ, −, =, |}",Life sciences
1532,Photochemical Reflectance Index,"{), I, (, +, ρ, P, R, −, =}",Life sciences
1533,Photon Doppler velocimetry,"{a, j, E, i, ∂, n, ∑, x, =}",Life sciences
1534,Photon diffusion,"{c, F, σ, ∇, π, →, U, −, =}",Physical sciences
1536,Phylogenetic comparative methods,"{+, n, r, y, x, =}",Life sciences
1537,Piano key frequencies,"{a, E, =, ¯, R, U, W, V, −, Δ}",Society
1538,Picard–Fuchs equation,"{d, g, f, ), (, +, j, −, =}",Life sciences
1539,Picard–Lindelöf theorem,"{′, f, ), (, ,, t, y, =}",Life sciences
1540,Piecewise linear continuation,"{), (, +, ,, s, t, y, x, −, =}",Applied sciences
1541,Pillai's arithmetical function,"{gcd, ), (, k, ,, n, P, ∑, =}",Life sciences
1542,Pincherle polynomials,"{a, !, e, ), (, +, n, t, exp, ⁡, ∑, x, β, −, =}",Life sciences
1543,Plancherel theorem for spherical functions,"{⋅, ∫, ), d, G, f, χ, φ, π, g, λ, (, =}",Life sciences
1544,Planck charge,"{c, e, ℏ, π, q, α, ϵ, =}",Physical sciences
1546,Plane of rotation,"{a, b, ∧, ≠}",Life sciences
1547,Plug flow,"{δ, s, u, ν, =, ∗}",Physical sciences
1548,Plummer model,"{a, ), (, +, M, ρ, π, P, r, −, =}",Physical sciences
1549,Pluriharmonic function,"{a, ∈, C, b, ⊂, +, n, {, z, }, ∣}",Life sciences
1550,Plücker's conoid,"{y, x, +, z, =}",Life sciences
1551,Pneumatic cylinder,"{Ψ, ∂, i, (, ℏ, j, m, ), x, −, =, ∗}",Physical sciences
1553,Pocket set theory,"{∈, ), ∀, →, (, ↔, Y, X, z, =}",Life sciences
1554,Poincaré group,"{), (, ,, O, S, R, ⋊}",Life sciences
1555,Poincaré inequality,"{Ω, C, ‖, ), (, ≤, L, ∇, p, u}",Life sciences
1556,Poincaré–Lelong equation,"{¯, i, ∂, ρ, u, =}",Life sciences
1557,Poinsot's ellipsoid,"{), (, v, V, ∑, =}",Physical sciences
1558,Point accepted mutation,"{f, ), (, j, n, N, =}",Life sciences
1559,Poisson binomial distribution,"{i, n, p, μ, ∑, =}",Life sciences
1560,Poisson distribution,"{!, e, ), (, k, p, λ, X, −, =}",Life sciences
1561,Poisson kernel,"{cos, ), e, Re, i, (, +, ⁡, <, ,, n, θ, P, r, ≤, ∞, ∑, −, =, |}",Life sciences
1562,Poisson sampling,"{i, =, j, ×, π}",Auxiliary sciences of history
1563,Poisson–Boltzmann equation,"{⋅, c, B, e, ψ, ), (, k, =, ,, ρ, −, T, y, x, [, z, ], +}",Physical sciences
1564,Polar sine,"{⁡, Ω, Π, (, psin, …, ,, n, ), v, =}",Life sciences
1565,Polarization identity,"{b, ), (, μ, T, exp, ⁡, −, =}",Life sciences
1567,Polygamma function,"{z, d, ψ, ln, (, +, m, ), ⁡, Γ, =}",Life sciences
1569,Polynomial long division,"{x, +, −}",Life sciences
1571,Pontryagin duality,"{∈, e, ↦, G, χ, (, =, ), T, v, x, {, }}",Life sciences
1572,Pontryagin's maximum principle,"{∈, f, ), ∀, ≤, ], ,, λ, u, t, H, (, x, [, U, ∗}",Life sciences
1573,Pore water pressure,"{g, h, p, s, w, =}",Applied sciences
1574,Position operator,"{⟨, ⟩, ∫, d, ψ, +, ∞, x, −, =, |, ∗}",Physical sciences
1575,Positive and negative sets,"{A, n, =, ⋃, ∞}",Life sciences
1576,Positive-real function,"{A, ≏, C, B, +}",Life sciences
1577,Possibility theory,"{∈, max, ω, ), (, =, pos, U, ⁡, {, }}",Life sciences
1578,Post-modern portfolio theory,"{∫, d, f, ), (, r, t, ∞, −, =}",Professional studies
1579,Potential method,"{−, ), (, +, =, ⋅, C, Φ, S, T, a, c, b, e, d, f, i, m, l, o, r, u, t, z}",Applied sciences
1580,Potts model,"{J, g, i, H, j, ,, ), s, (, =, h, ∑, β, −, δ}",Life sciences
1581,Power number,"{D, P, ρ, N, p, n, =}",Life sciences
1582,Power series solution of differential equations,"{a, ″, ′, f, ), (, +, z, =}",Life sciences
1583,Power transform,"{M, e, V}",Auxiliary sciences of history
1584,Power-law fluid,"{∂, ), (, K, τ, n, u, y, =}",Environmental studies
1585,Power-law index profile,"{cos, θ, P, S, ⁡, =, |}",Applied sciences
1586,Poynting vector,"{H, S, =, E, ×}",Life sciences
1587,Poynting's theorem,"{⋅, J, E, +, ∂, ∇, S, u, t, −, =}",Physical sciences
1588,Practical number,"{d, i, ≤, j, n, ∑, =, +}",Categories by parameter
1589,Prandtl number,"{c, P, k, ρ, p, r, μ, ν, α, =, /}",Physical sciences
1590,Precipitation hardening,"{A, =, r, b, π}",Life sciences
1591,Precision tests of QED,"{c, e, ℏ, m, π, R, ∞, α, =}",Life sciences
1592,Predicative programming,"{⋅, b, ), (, ≡, Q, P, ⇒, ⊑, ∀}",Applied sciences
1593,Price of fairness,"{a, ∈, max, ), e, D, F, i, (, f, l, o, n, P, s, r, O, w, v, =}",Humanities
1594,Primary pseudoperfect number,"{+, N, p, ∑, =, |}",Categories by parameter
1595,Prime-factor FFT algorithm,"{A, ⋅, −, k, M, ,, W, …, z, =}",Applied sciences
1596,Primitive element theorem,"{f, +, ⋯, n, α, x, −, =}",Life sciences
1597,Prince Rupert's cube,{≈},Life sciences
1598,Principal axis theorem,"{A, ), (, Q, T, x, =}",Life sciences
1599,Principal homogeneous space,"{⋅, ↦, g, ), (, ,, x}",Life sciences
1600,Principal value,"{=, z, e, w}",Life sciences
1601,Principle of distributivity,"{A, ∨, C, B, ), (, ∧, ⟺}",Life sciences
1602,Principle of explosion,"{), ⊢, ¬, ∀, ∧, Q, P, (, :}",Life sciences
1603,Principle of indifference,"{f, ), (, ∂, L, V, =, |}",Life sciences
1604,Prior probability,"{A, B, ), i, (, j, P, ∑, =, |}",Auxiliary sciences of history
1605,Probability measure,"{), Ω, =, μ, (}",Life sciences
1606,Probit model,"{Pr, ′, ), (, x, Y, X, β, =, |}",Applied sciences
1607,Procept,"{a, c, e, d, g, f, i, h, +, m, l, o, n, p, s, r, u, t, w}",Society
1608,Product integral,"{a, ∫, b, d, f, i, (, =, →, ), lim, ∑, x, Δ}",Physical sciences
1609,Product of rings,"{p, k, ⋯, =, n}",Life sciences
1610,Product rule,"{⋅, ′, g, f, ), (, +, =}",Life sciences
1611,Product state,"{⊗, =, ρ}",Physical sciences
1612,Proizvolov's identity,"{A, B, +, ⋯, N, −, =, |}",Society
1613,Projection-valued measure,"{), (, π, H, X, =, id}",Life sciences
1614,Projective frame,"{+, ⋯, n, λ, v, =}",Life sciences
1615,Prony equation,"{a, b, D, f, ), h, +, L, (, V, =}",Life sciences
1616,Prony's method,"{A, cos, e, f, i, M, +, ⁡, σ, π, ), t, (, ∑, ϕ, =, ^}",Applied sciences
1618,Proof of knowledge,"{a, b, g, ), }, K, ∧, P, (, y, x, {, =}",Life sciences
1619,Proof sketch for Gödel's first incompleteness theorem,"{G, ), ∀, ,, q, P, (, y, =}",Life sciences
1621,Propulsive efficiency,"{c, d, ), h, Q, W, (, −, =}",Professional studies
1622,Protein precipitation,"{G, H, =, S, T, −, Δ}",Applied sciences
1623,Prothrombin time,"{), (, =}",Applied sciences
1624,Prune and search,"{), (, +, n, p, S, T, −, =}",Applied sciences
1625,Pseudo-random number sampling,"{f, F, i, (, j, ), ∑, =}",Physical sciences
1626,Pseudo-spectral method,"{ψ, i, (, +, ∂, ,, ), t, =, V, x, [, −, ]}",Applied sciences
1627,Pseudolikelihood,"{Pr, ∈, ∏, ), (, ,, =, E, X, a, c, f, i, h, j, l, o, r, w, x, {, }, |}",Auxiliary sciences of history
1628,Pseudometric space,"{d, g, f, ), (, ,, x, −, =, |}",Life sciences
1629,Pseudorandom binary sequence,"{a, ∈, −, f, =, j, ,, o, N, r, {, ., }}",Life sciences
1630,Pseudoscalar,"{=, e}",Life sciences
1631,Pseudospectrum,"{∈, ∃, ϵ, ×, ∖, ), (, +, ∥, ,, :, =, A, C, E, λ, ≤, n, Λ, x, {, }, ∣}",Life sciences
1632,Ptolemy's table of chords,"{⋅, chord, ), (, π, θ, ∘, ⁡, =, sin}",Life sciences
1633,Pulmonary compliance,"{a, c, e, P, i, =, m, l, o, n, p, V, C, Δ}",Life sciences
1634,Pulse repetition frequency,"{=, T}",Life sciences
1635,Pulse-Doppler radar,"{), (, C, =, ×}",Professional studies
1637,Purcell effect,"{c, F, ), (, n, Q, P, λ, V, π, =}",Physical sciences
1638,Pure submodule,"{a, i, j, m, ,, n, ∑, …, y, x, =}",Life sciences
1639,Purification of quantum state,"{⟨, ⟩, B, ψ, ), (, ρ, r, t, ⁡, =, |}",Life sciences
1640,Putnam model,"{⋅, B, =, /}",Society
1641,Pythagorean comma,"{−, ≈}",Society
1642,Pythagorean theorem,"{a, c, b, =, +}",Life sciences
1643,Pythagorean trigonometric identity,"{cos, +, θ, ⁡, =, sin}",Life sciences
1644,Pythagorean triple,"{a, c, b, +, m, ,, n, −, =}",Life sciences
1645,Péclet number,"{P, =, e}",Physical sciences
1646,Pólya enumeration theorem,"{∈, c, G, g, ), (, m, /, ∑, Y, X, =, |}",Life sciences
1647,Q-Pochhammer symbol,"{a, ∏, ), (, k, ⋯, n, q, ;, −, =}",Life sciences
1648,Q-Vandermonde identity,"{), (, k, j, m, n, q, ∑, −, =, +}",Life sciences
1649,Q-analog,"{lim, n, q, →, −, =}",Life sciences
1650,Q-gamma function,"{a, ∫, b, d, f, ), (, ′, x, −, =}",Life sciences
1652,Quadratic integer,"{∏, p, ,, P, U, =, |}",Life sciences
1653,Quadratic residue,"{), (, n, q, x, ≡, mod}",Life sciences
1655,Quadratrix,"{a, cot, π, ⁡, y, x, =}",Physical sciences
1656,Quadratrix of Hippias,"{a, ⋅, cot, f, ), (, π, ⁡, x, =}",Physical sciences
1657,Quadrature amplitude modulation,"{′, i, j, n, w, ∑, =}",Applied sciences
1658,Quadrifolium,"{i, (, +, n, ), s, r, y, x, ϕ, −, =}",Life sciences
1659,Quantile regression,"{≥, F, ), =, τ, Q, y, (, Y, inf, −, }, {}",Applied sciences
1660,Quantized state systems method,"{A, ∈, B, min, i, (, +, ,, N, ), R, ∑, −}",Life sciences
1661,Quantum circuit,"{⁡, ), H, =, ,, n, QB, ℓ, (, {, }}",Applied sciences
1662,Quantum cloning,"{A, ⟩, B, e, ψ, U, =, |}",Physical sciences
1663,Quantum concentration,"{), (, ℏ, M, /, n, Q, T, π, =, k}",Auxiliary sciences of history
1664,Quantum convolutional code,"{a, y, +, =, x}",Physical sciences
1666,Quantum limit,"{F, ℏ, /, ⩾, O, Δ}",Physical sciences
1667,Quantum nonlocality,"{a, A, B, ), (, ,, y, b, X, Y, x}",Physical sciences
1668,Quantum phase estimation algorithm,"{⟩, ψ, n, ⊗, ∑, x, |}",Applied sciences
1669,Quantum reflection,"{c, g, i, +, o, n, p, s, ν, =, t}",Physical sciences
1670,"Quantum stirring, ratchets, and pumping","{d, G, ∮, I, (, +, Q, ), t, X, −, =}",Physical sciences
1671,Quark–lepton complementarity,"{C, ∘, K, M, ≃, N, θ, P, S, +}",Physical sciences
1672,Quarter period,"{∫, d, ), (, K, m, π, θ, ⁡, −, =, sin}",Life sciences
1673,Quasi-Frobenius Lie algebra,"{g, ), (, ,, β, ], [}",Life sciences
1674,Quasi-Hopf algebra,"{a, c, b, i, (, ), S, ∑, α, =, ε}",Life sciences
1675,Quasi-continuous function,"{∈, G, f, ), ∀, |, (, y, x, ϵ, −, <}",Life sciences
1676,Quasi-finite field,"{:, ), (, K, /, →, s, Gal, ⁡, ϕ, Z, ^}",Life sciences
1677,Quasi-relative interior,"{A, ∈, c, e, ), qri, ¯, o, n, =, (, x, {, −, }, ⁡}",Life sciences
1678,Quasiconvex function,"{f, ), max, ≤, ,, λ, (, y, x, {, −, }, +}",Life sciences
1679,Quasilinear utility,"{), (, +, L, ,, θ, u, x, ., =}",Society
1680,Quasinormal mode,"{cos, ′, e, ≈, ω, ψ, ), (, t, ⁡, −}",Life sciences
1681,Quasiprobability distribution,"{H, =, G, O, N}",Auxiliary sciences of history
1682,Quincunx matrix,"{A, ), −, =, (}",Life sciences
1683,Quotient rule,"{g, f, ), (, h, x, =}",Life sciences
1684,Quotient stack,"{G, /, →, X, [, ]}",Life sciences
1685,RANDU,"{⋅, +, j, V, =, mod}",Applied sciences
1686,RKKY interaction,"{⁡, −, ∗, ), (, π, =, sin, ⋅, I, H, R, [, ], cos, i, k, j, m, |, Δ, ℏ}",Physical sciences
1688,Rabi problem,"{a, E, ω, ), ¨, +, τ, m, ,, r, t, x, (, e, ˙, =}",Physical sciences
1689,Racks and quandles,"{a, c, b, ), (, ◃, =}",Life sciences
1690,Radiant exposure,"{A, ∫, E, d, ), H, ∂, Q, t, (, e, =, T}",Physical sciences
1691,Radical polymerization,"{⋅, d, f, I, =, k, ⁡, M, /, i, t, v, [, ]}",Physical sciences
1692,Radon–Riesz property,"{⟨, ⟩, +, ,, n, x, −, =}",Life sciences
1694,Rainflow-counting algorithm,"{B, f, ), (, k, N, ., =, +}",Physical sciences
1695,Rainville polynomials,"{), e, I, (, n, p, w, ∑, z, =}",Life sciences
1696,Ramanujan prime,"{), π, ≥, /, n, R, (, x, −}",Categories by parameter
1697,Ramanujan's master theorem,"{!, f, ), (, k, ∞, ∑, x, ϕ, −, =}",Categories by parameter
1698,Ramanujan–Soldner constant,"{∫, d, ln, μ, t, ⁡, :, =}",Categories by parameter
1699,Ramberg–Osgood relationship,"{a, c, e, i, (, m, S, l, ), s, r, t, [, n, ], ε, |}",Physical sciences
1700,Ramification group,"{⊃, G, =, …, {, −, }, ∗}",Life sciences
1701,Ramsey–Cass–Koopmans model,"{c, g, f, ), (, k, =, n, ˙, −, δ, +}",Life sciences
1703,Range accrual,"{∈, ), i, ×, N, P, (, ∑, =}",Life sciences
1704,Range expansion index,"{k, j, m, S, n, s, ∑, =}",Life sciences
1705,Rankine vortex,"{None, Γ, ), (, ≤, ,, /, π, θ, ., R, u, {, r, =, >}",Life sciences
1706,Rao–Blackwell theorem,"{f, i, (, +, n, ), ∑, −, =}",Auxiliary sciences of history
1708,Rate of return on a portfolio,"{A, +, ⋯, n, r, =}",Life sciences
1709,Rate-monotonic scheduling,"{C, i, (, ≤, /, n, ), U, T, ∑, −, =}",Applied sciences
1710,Ratio test,"{a, ∑, n, =, ∞}",Life sciences
1711,Rational expectations,"{P, ϵ, =, +, ∗}",Applied sciences
1712,Raven paradox,"{a, E, F, ), (, +, n, P, λ, =, |}",Life sciences
1713,Ray transfer matrix analysis,"{A, C, B, D, ), (, θ, x, =}",Physical sciences
1714,Rayl,"{a, ⋅, C, b, d, G, S, c, k, m, M, l, N, P, s, R, g, y, n, =, K}",Life sciences
1716,Rayleigh distribution,"{e, f, ), (, ≥, σ, ,, /, x, ;, −, =}",Life sciences
1717,Rayleigh number,"{a, b, g, ), (, L, R, u, T, α, β, −, =, ν}",Physical sciences
1718,Rayleigh sky model,"{a, cos, =, +, m, ⁡, x, γ, δ, sin}",Physical sciences
1719,Rayleigh–Bénard convection,"{∂, ∇, ⁡, −, p, ), (, +, ,, ρ, =, ⋅, ν, χ, β, g, →, t, v, div, Δ, T}",Physical sciences
1720,Reactions on surfaces,"{A, C, d, k, θ, S, r, t, −, =}",Physical sciences
1721,Reaction–diffusion system,"{D, ), (, +, ∂, ∇, q, R, t, =, _}",Life sciences
1722,Real analytic Eisenstein series,"{E, ), (, +, m, ,, n, ∑, s, y, z, =, |}",Life sciences
1723,Real gas,"{a, b, ), (, +, P, R, T, V, −, =}",Environmental studies
1724,Real point,"{), (, ,, n, u, …}",Life sciences
1725,Real projective plane,"{cos, ), (, +, ⁡, ,, r, u, v, X, =}",Life sciences
1726,Reality structure,"{i, ⊕, R, =, V}",Life sciences
1727,Recessional velocity,"{H, =, D, v}",Life sciences
1728,Reciprocal Fibonacci constant,"{F, ψ, k, ⋯, ∞, ∑, =, +}",Life sciences
1730,Reciprocal distribution,"{a, b, e, log, f, ), (, ≤, =, ,, ⁡, x, [, −, ], ;, >}",Life sciences
1731,Reciprocal rule,"{′, d, g, ), (, x, −, =}",Life sciences
1733,Recurrence period density entropy,"{], ), (, +, τ, M, ,, n, …, X, x, [, −, =}",Life sciences
1734,Recursive tree,"{!, ), (, n, T, −, =}",Life sciences
1735,Recursively enumerable set,"{∈, ∏, ), (, K, p, t, x, −, =}",Life sciences
1736,Reduced form,"{e, +, ,, π, Q, Z, =}",Auxiliary sciences of history
1737,Reduced homology,"{f, ), (, ¯, x, −, =}",Life sciences
1738,Reduced product,"{I, i, S, ∏, ∈}",Life sciences
1739,Reductions with hydrosilanes,"{B, ,, n, r, …, =}",Life sciences
1740,Reference dose,"{∗, ), (, /, =, E, D, L, O, N, R, U, a, e, d, g, f, i, h, k, m, o, n, r, t, y}",Life sciences
1742,Reflectance difference spectroscopy,"{∈, C, −, D, +, ,, S, R, α, β, r, =}",Life sciences
1743,Regularity theorem for Lebesgue measure,"{A, △, B, ), (, N, ∪, =, ∖}",Life sciences
1744,Regulated function,"{∈, ;, f, ), φ, sup, ], ,, ∥, t, =, ∞, (, X, [, −, δ, <, T}",Life sciences
1745,Reid index,"{a, d, g, I, l, n, R, w, =}",Life sciences
1746,Reinforced solid,"{A, /, r, ρ, x, =}",Professional studies
1747,Relational quantum mechanics,"{a, f, ), (, t, y, x, =}",Society
1748,Relative biological effectiveness,"{B, E, D, R, X, =}",Physical sciences
1749,Relative viscosity,"{s, r, =, η}",Environmental studies
1750,Relativistic Doppler effect,"{c, f, ), (, s, λ, t, v, β, −, =}",Physical sciences
1751,Relativistic Euler equations,"{=, μ, ν, ∇, T}",Life sciences
1752,Remez algorithm,"{b, e, f, i, h, +, ,, n, ), r, (, w, x, −, E, ., =}",Life sciences
1753,Removal of Hell Gate rocks,"{C, =, L, ;}",Categories by parameter
1754,Representation of a Lie group,"{∈, G, g, F, ), =, ∣, J, L, n, q, p, S, t, (, {, }}",Life sciences
1755,Representativeness heuristic,"{D, ), H, P, (, =, |}",Life sciences
1756,Reproducing kernel Hilbert space,"{∈, ↦, f, ), (, L, H, ∀, x}",Life sciences
1757,Reptation,"{A, =, e, n}",Physical sciences
1758,Residual (numerical analysis),"{≈, g, F, ), (, ,, n, r, x, =}",Applied sciences
1759,Residual-resistance ratio,"{K, R, =, ρ}",Physical sciences
1760,Resolution proof compression by splitting,"{), max, ,, n, p, add, r, (, ⁡, −, =, |}",Auxiliary sciences of history
1761,Resolvent formalism,"{A, −, I, (, ), R, ;, z, =}",Life sciences
1762,Respiratory minute volume,"{f, =, T, V, ˙, ×}",Life sciences
1763,Restricted representation,"{:, f, ≥, ⋯, N}",Life sciences
1764,Resultant force,"{i, ∑, n, =, F}",Physical sciences
1765,Retina Display,"{d, ), (, ∘, r, ⁡, tan}",Applied sciences
1766,Retkes convergence criterion,"{), →, Π, (, k, …, ⟺, n, lim, s, ∞, ∑, z, =, ,}",Life sciences
1767,Returns-based style analysis,"{i, +, m, I, R, t, ∑, α, β, =, ϵ}",Life sciences
1768,Reverberation,"{a, c, ≈, ln, ⁡, m, s, S, R, T, V, −, =}",Society
1769,Reynolds number,"{e, L, R, ν, V, =}",Physical sciences
1770,Rhind Mathematical Papyrus,"{d, ), h, V, ], /, (, [, −, =}",Society
1772,Ribbon Hopf algebra,"{), (, ,, S, u, ν, =, ε}",Life sciences
1773,Riccati equation,"{′, ), (, +, q, y, x, =}",Life sciences
1775,Ricco's law,"{a, A, C, e, K, o, n, s, r, t, =}",Applied sciences
1776,Rice distribution,"{f, I, (, +, σ, ,, ), ν, exp, ⁡, x, −, =, ∣}",Life sciences
1777,Richards equation,"{), h, K, ∂, ], θ, t, (, [, z, =, +}",Physical sciences
1778,Ricker model,"{e, ), (, k, N, r, t, −, =, +}",Life sciences
1779,Riemann curvature tensor,"{), =, ,, ∇, R, u, (, w, v, [, −, ]}",Life sciences
1780,Riemann zeta function,"{), (, n, s, ∞, ∑, =, ζ}",Life sciences
1781,Riemann–Hurwitz formula,"{⋅, ′, e, g, ∈, ), (, N, P, S, ∑, −, =}",Life sciences
1782,Riemann–Siegel theta function,"{−, log, i, (, +, ⁡, π, θ, ), t, arg, Γ, =}",Categories by parameter
1783,Riemann–von Mangoldt formula,"{−, log, ), (, +, O, N, T, ⁡, π, =}",Categories by parameter
1784,Riesz mean,"{λ, ), =, k, n, s, R, (, ∑, −, δ}",Life sciences
1785,Riesz rearrangement inequality,"{d, g, f, I, h, =, ,, n, ), R, (, y, x, −, ×, ∬}",Life sciences
1786,Riesz's lemma,"{∈, d, ), (, ,, y, Y, x, inf, −, =, |}",Life sciences
1787,Right quotient,"{∈, ), (, ∃, L, ∧, /, w, }, x, {, =, |}",Life sciences
1788,Rijndael key schedule,"{b, i, (, ), −, =}",Applied sciences
1789,Ring Learning with Errors,"{a, ), (, +, n, …, x, −, =}",Life sciences
1790,Risk management in Indian banks,"{p, R, =}",Society
1791,Risk-neutral measure,"{E, ), H, ,, Q, P, T, ⁡, (, =}",Life sciences
1792,Robbins constant,"{a, c, ], ), (, +, σ, l, T, α, [, −, =}",Life sciences
1793,Robin boundary condition,"{a, Ω, b, g, +, ∂, n, u, =}",Life sciences
1794,Robust regression,"{c, e, i, (, +, σ, ,, N, ), ∼, −, ε}",Applied sciences
1795,Roche limit,"{d, ), m, M, ρ, R, (, =}",Life sciences
1796,Rogers–Szegő polynomials,"{), h, k, n, q, (, ∑, x, ;, −, =}",Life sciences
1797,Rokhlin's theorem,"{), H, M, ,, Q, →, (, Z, ×}",Life sciences
1798,Root-mean-square speed,"{M, m, s, r, T, v, R, =}",Environmental studies
1799,Rose–Vinet equation of state,"{V, =, η}",Physical sciences
1800,Roshko number,"{f, L, o, R, ν, =}",Life sciences
1801,Rossby parameter,"{a, c, d, ω, f, i, (, ∂, o, n, ), s, y, β, =, ϕ}",Society
1802,Rotary disc shutter,"{∘, =}",Applied sciences
1803,Rotating unbalance,"{=, U, ω, F}",Physical sciences
1805,Rotational spectroscopy,"{B, ), (, +, v, α, −, =}",Physical sciences
1806,Rota–Baxter algebra,"{), (, +, θ, R, y, x, =}",Life sciences
1807,Rothe–Hagen identity,"{−, ), (, k, n, ∑, y, x, z, =, +}",Life sciences
1808,Round-trip gain,"{a, ∫, d, g, ), (, ,, G, y, x, z, =}",Applied sciences
1810,Row and column spaces,"{Ω, e, d, I, O, N, i, R, U, o, −, =, T}",Life sciences
1811,Roy's safety-first criterion,"{Pr, min, i, (, ), R, <, _}",Life sciences
1812,Rubber elasticity,"{b, d, ), (, ,, n, P, r, exp, ⁡, −, π, =}",Physical sciences
1813,Rubik's Revenge,"{!, ×, ≈}",Life sciences
1814,Rubin causal model,"{c, ), (, +, u, t, Y, =, T}",Life sciences
1815,Ruelle zeta function,"{cos, ), (, ,, /, θ, r, ⁡, x, −, =}",Life sciences
1816,Rugosity,"{A, =, /, f}",Professional studies
1819,Rössler attractor,"{a, c, b, ), (, +, ,, −}",Life sciences
1820,S-plane,"{∈, C, e, d, f, ), (, ∫, s, t, ∞, −, |}",Life sciences
1821,SL2(R),"{a, ∈, c, b, d, ), (, ,, R, :, −, =}",Life sciences
